simulated_process,response_process_shape,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,transfer: MSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,2,3,924832046,17.7729,600,24,0.0071094,0.0055193,0.09347,0.58729,0.45604,0.33734,2.1195,0.096812,0.44996,0.097502,0.75584,0.097539,1.4166,1e-05         0.1,0.43996,0.22648,0.091348,0.016208,0.18061,0.018075,0.20932,0.014196,
1,3,2,1633576512,21.5201,300,17,0.0082939,0.015247,0.092439,0.68753,0.70147,0.31621,2.0094,0.23041,0.39142,2.4319,0.10709,2.432,2.6658,1e-05         0.1,0.40821,0.36582,0.063095,0.0061359,0.081601,0.004263,0.1214,0.0021891,
4,2,3,3215044691,16.968,300,17,0.0048644,0.024418,0.05884,0.3734,0.89255,0.2719,1.7053,0.23843,0.36777,0.30164,2.2668,0.30168,3.9969,1e-05         0.1,0.41951,0.27963,0.080143,0.01755,0.21799,0.028037,0.17781,0.020678,
1,3,3,2826124506,19.9984,600,24,0.0044865,0.010519,0.063774,0.57502,0.57252,0.25808,1.648,0.1882,0.3197,1.1573,0.089235,1.1574,1.4449,1e-05         0.1,0.54246,0.37594,0.036569,0.0066876,0.052682,0.0032868,0.0566,0.0019668,
1,3,3,1209171696,20.8813,300,17,0.01253,0.012604,0.076413,0.76925,0.67007,0.30205,1.9485,0.20819,0.35368,1.2394,0.095563,1.2395,1.5473,1e-05         0.1,0.4396,0.3372,0.02749,0.0067321,0.036245,0.0053507,0.032808,0.0020312,
0,1,2,3549589099,16.883,300,17,0.0096656,0.011095,0.1879,1.1806,0.59404,0.43942,2.7609,0.16512,0.76743,0.0021091,8.1947,0.0021192,0.44608,1e-05         0.1,1,2.0006,27.3471,34.6828,31.4292,25.288,38.353,39.0416,
4,3,2,3252971982,21.5263,300,17,0.010828,0.04575,0.11024,0.93472,1.097,0.33417,2.2078,0.45014,0.69434,4.3023,0.087626,4.3025,3.2049,1e-05         0.1,0.25027,0.30746,0.071022,0.0040878,0.071351,0.013357,0.1473,0.0011927,
0,3,3,2988628157,20.073,300,17,0.015743,0.0094769,0.16049,1.0084,0.56974,0.42144,2.648,0.15229,0.7078,2.4413,0.19473,2.4414,3.8116,1e-05         0.1,0.2588,0.11779,0.043037,0.012712,0.050049,0.0044577,0.043402,0.0016927,
1,2,2,4170412038,20.2278,300,17,0.014109,0.016488,0.099958,0.88278,0.77959,0.35142,2.3093,0.21247,0.36094,0.19232,1.9723,0.19234,2.8288,1e-05         0.1,0.24264,0.25647,0.11008,0.02194,0.24042,0.027473,0.32348,0.020946,
4,1,3,604513760,23.5941,900,30,0.0024254,0.017472,0.042101,0.29104,0.70945,0.21612,1.3723,0.21713,0.33492,0.0026482,0.63876,0.0026551,0.22018,1e-05         0.1,1.002,2.6559,7.6955,11.3046,13.3972,10.9364,11.9263,10.1188,
