simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
4,2,2017992965,11.7907,900,30,0.0030633,0.0077434,0.013938,0.26912,0.38153,0.19281,1.374,0.17283,0.19073,0.84659,0.072215,0.84674,1.3284,0.033333,0.56855,0.40578,0.20267,0.47869,0.20807,0.47753,0.20322,
4,2,2394061263,11.8949,900,30,0.0059346,0.030243,0.054438,0.37312,0.48232,0.24374,1.4896,0.37664,0.41565,26.1354,0.10592,26.1356,16.5711,0.033333,0.48311,0.10015,0.054149,0.10331,0.050558,0.09842,0.045934,
4,3,3251829032,10.3484,300,17,0.016446,0.02059,0.037063,0.86004,0.69752,0.35249,2.4545,0.29993,0.331,2.7317,0.086943,2.7319,3.0226,0.058824,0.7947,0.38322,0.096718,0.48925,0.093736,0.64576,0.086258,
4,3,2507075430,10.3615,300,17,0.020656,0.030323,0.054582,0.47927,0.54043,0.27311,1.7106,0.25584,0.28234,4.7691,0.062441,4.7696,4.4924,0.058824,0.73419,0.28095,0.097356,0.31817,0.10988,0.30957,0.092266,
4,1,110910121,12.134,900,30,0.0077314,0.021959,0.039527,0.37698,0.48662,0.24591,1.5693,0.32941,0.36353,9.6261,0.060489,9.6262,6.3458,0.033333,0.48285,0.12214,0.067691,0.13376,0.068921,0.15942,0.077778,
4,3,2328920351,11.0444,600,24,0.031822,0.069661,0.12539,0.4898,0.60905,0.30779,1.7743,0.42035,0.46389,25.3233,0.14522,25.3235,17.0323,0.041667,0.66329,0.14484,0.061305,0.16644,0.052464,0.16619,0.061645,
4,3,3629801232,11.1071,600,24,0.0040499,0.017735,0.031924,0.324,0.50137,0.25337,1.5619,0.39807,0.43931,6.9989,0.017359,6.9993,3.2499,0.041667,0.67925,0.083225,0.027468,0.073607,0.027332,0.12346,0.031649,
4,3,3256436392,10.3913,300,17,0.0086749,0.014397,0.025915,0.59013,0.52174,0.26366,1.912,0.23629,0.26077,6.0921,0.029994,6.0924,3.5857,0.058824,0.78961,0.16159,0.056896,0.15964,0.046806,0.23992,0.053718,
0,1,771682390,9.7636,300,17,0.0097674,0.0066842,0.107,0.67233,0.40258,0.40208,2.5264,0.10609,0.66575,2.3044,0.15463,2.3048,3.0911,0.058824,0.53311,0.32749,0.13441,0.33642,0.1165,0.41829,0.16854,
4,3,3189338510,10.4808,300,17,0.0030677,0.015792,0.028425,0.43807,0.51571,0.26061,1.7189,0.23523,0.25959,12.7559,0.017688,12.7561,4.8503,0.058824,0.73093,0.058508,0.022448,0.064752,0.021629,0.092411,0.01943,
4,3,1328594581,10.4372,300,17,0.033723,0.031719,0.057096,0.75283,0.567,0.28654,1.8731,0.33546,0.37021,15.8869,0.062239,15.887,8.4103,0.058824,0.72118,0.10251,0.038682,0.12554,0.042772,0.12775,0.040372,
4,3,3154067748,10.4886,300,17,0.035062,0.05528,0.099506,0.80507,0.67801,0.34264,2.08,0.35983,0.3971,91.7607,0.10705,91.7609,33.9301,0.058824,0.47842,0.047694,0.017023,0.05981,0.019811,0.044872,0.017149,
4,3,1913536338,11.0958,600,24,0.0097808,0.03141,0.056539,0.54776,0.60745,0.30698,1.9444,0.33792,0.37292,10.847,0.126,10.8473,9.1984,0.041667,0.59239,0.25638,0.090829,0.26588,0.093418,0.26807,0.075283,
4,3,3542731864,11.0709,600,24,0.0013965,0.013795,0.024831,0.45368,0.49474,0.25002,1.8285,0.185,0.20416,5.2591,0.023124,5.2594,2.7584,0.041667,0.58367,0.0908,0.045595,0.091047,0.041271,0.094066,0.05107,
4,2,3933054690,10.6387,300,17,0.0095447,0.026877,0.04838,0.47032,0.53539,0.27056,1.7504,0.34847,0.38456,7.1461,0.041296,7.1463,5.0589,0.058824,0.6087,0.17666,0.081106,0.21483,0.075193,0.17943,0.086235,
4,3,1535013952,11.6166,900,30,0.0083608,0.010782,0.019408,0.34352,0.41159,0.208,1.4321,0.23803,0.26269,20.4803,0.019225,20.4805,6.8196,0.033333,0.34076,0.02307,0.012729,0.027902,0.014405,0.027063,0.011906,
0,1,1473684923,10.3708,600,24,0.0093365,0.0062432,0.099943,0.62796,0.35201,0.35157,2.209,0.093486,0.58667,2.7496,0.12045,2.7496,3.2165,0.041667,0.37112,0.19338,0.095631,0.1934,0.095722,0.2256,0.10762,
4,3,2951547206,11.1112,600,24,0.0039132,0.014478,0.026061,0.44837,0.48842,0.24683,1.7274,0.19159,0.21144,5.1738,0.035039,5.1739,3.1457,0.041667,0.65794,0.16918,0.058805,0.18602,0.05354,0.22599,0.064137,
4,3,3148704524,11.6793,900,30,0.0039513,0.025985,0.046774,0.30881,0.50147,0.25342,1.5148,0.29742,0.32823,17.6378,0.073581,17.6379,9.3519,0.033333,0.5116,0.10111,0.042563,0.095406,0.039927,0.11513,0.03585,
4,3,2288885969,11.1639,600,24,0.030007,0.029482,0.053068,0.42083,0.54017,0.27298,1.6517,0.44049,0.48612,4.2198,0.035089,4.22,2.9792,0.041667,0.5614,0.167,0.060682,0.19549,0.068648,0.19827,0.06551,
4,3,1950568845,11.1322,600,24,0.0044152,0.047892,0.086207,0.49972,0.58792,0.29711,1.7632,0.53766,0.59336,4.4852,0.074659,4.4856,3.5693,0.041667,0.6704,0.24904,0.083891,0.27427,0.083995,0.32687,0.086724,
4,3,1605875299,11.1198,600,24,0.0077488,0.021958,0.039525,0.56903,0.53124,0.26846,1.7313,0.28044,0.30949,6.2259,0.090164,6.2264,4.9676,0.041667,0.54807,0.24702,0.093289,0.26282,0.093104,0.29778,0.073489,
4,3,593273949,11.6881,900,30,0.010187,0.028755,0.05176,0.32032,0.46585,0.23542,1.4026,0.32934,0.36346,11.3214,0.046139,11.322,6.0257,0.033333,0.56971,0.093936,0.044679,0.11501,0.056382,0.11535,0.040359,
4,2,1032209928,11.4197,600,24,0.0074628,0.017509,0.031517,0.39496,0.44086,0.22279,1.5308,0.24982,0.2757,20.4377,0.058047,20.4379,10.6678,0.041667,0.41203,0.086592,0.041362,0.089062,0.040726,0.11268,0.046466,
4,3,2814443224,11.7102,900,30,0.0014162,0.012835,0.023104,0.25621,0.45898,0.23195,1.5863,0.20175,0.22265,13.8365,0.028772,13.8367,5.7595,0.033333,0.45599,0.049641,0.024945,0.044723,0.02484,0.048797,0.024172,
0,1,2196870257,9.677,300,17,0.013707,0.0080476,0.12883,0.80945,0.43298,0.43245,2.7172,0.12394,0.77779,1.1082,0.1675,1.1083,1.8417,0.058824,0.68778,0.49548,0.19011,0.63119,0.20098,0.67926,0.17215,
