simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,2,2428684995,12.9079,900,30,0.0044394,0.091769,0.066832,0.41992,1.516,0.30319,1.905,0.41987,0.52761,19.4574,0.10123,19.4577,5.9216,0.033333,0.2638,0.089867,0.038716,0.094713,0.036186,0.11102,0.030188,
1,3,418715171,14.716,300,17,0.0054223,0.31507,0.060038,0.49946,2.5022,0.27049,1.6714,0.78271,0.31274,58.4056,0.10145,58.4078,11.7291,0.058824,0.51293,0.05949,0.019894,0.066157,0.015737,0.10174,0.01813,
1,3,2075986323,14.8263,300,17,0.049191,0.52,0.099088,1.0789,3.5054,0.37893,2.4521,1.0354,0.4137,56.9402,0.10756,56.9424,11.3848,0.058824,0.41582,0.076222,0.018481,0.084672,0.020877,0.13394,0.011713,
4,2,1538552240,10.7806,300,17,0.010256,0.33338,0.081695,0.50029,3.0071,0.25761,1.6522,1.1738,0.52112,48.0896,0.11066,48.0903,12.6763,0.058824,0.23917,0.067679,0.022807,0.071901,0.022412,0.092654,0.015957,
1,2,3455953542,13.4727,600,24,0.0041216,0.28297,0.053922,0.60441,2.3218,0.25099,1.6322,0.73164,0.29233,63.8444,0.12022,63.8455,14.4455,0.041667,0.24058,0.054573,0.023788,0.071661,0.031002,0.068664,0.026084,
1,3,2680189715,9.3249,600,24,0.0079069,0.2163,0.041217,0.48271,1.9892,0.21503,1.3735,0.6047,0.24161,27.881,0.067117,27.8828,6.8898,0.041667,0.49553,0.032148,0.011459,0.035311,0.011123,0.037919,0.0084824,
1,3,3364565022,9.4862,600,24,0.014033,0.23553,0.044882,0.45929,2.2596,0.24426,1.55,0.6875,0.2747,58.2463,0.093892,58.2478,12.2351,0.041667,0.31964,0.042156,0.015871,0.043038,0.016224,0.05078,0.013471,
4,1,1801010339,12.0188,600,24,0.0029823,0.2357,0.057757,0.35736,2.4883,0.21316,1.3423,0.92356,0.41002,32.4826,0.073568,32.485,7.2226,0.041667,0.25162,0.06218,0.033412,0.052726,0.023903,0.089874,0.028652,
4,1,1497041887,12.3,600,24,0.0094565,0.29743,0.072885,0.45716,2.7351,0.23431,1.4845,0.97765,0.43403,71.4231,0.14639,71.4236,15.4931,0.041667,0.23028,0.034926,0.022846,0.04952,0.022135,0.046398,0.01993,
1,2,3187639488,17.5247,600,24,0.004303,0.20527,0.039116,0.44733,2.1908,0.23683,1.5293,0.73242,0.29264,48.0852,0.080679,48.0881,10.5688,0.041667,0.32274,0.075992,0.023594,0.10072,0.026324,0.11984,0.017536,
