simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,2,354597137,10.2277,300,17,0.01652,0.0060885,0.097468,0.61241,0.37987,0.3794,2.3838,0.10751,0.67469,2.3727,0.12597,2.373,3.0619,1,0.56794,0.25675,0.12031,0.26361,0.12338,0.38873,0.11934,
0,2,3618392005,10.9565,600,24,0.0043553,0.0042735,0.068412,0.42984,0.31709,0.3167,1.9899,0.10116,0.63481,0.95766,0.082356,0.95794,1.3422,1,0.63985,0.39377,0.14368,0.40603,0.13776,0.42686,0.14736,
0,2,3265136216,10.1613,300,17,0.011497,0.0062988,0.10083,0.63356,0.4199,0.41939,2.6351,0.11367,0.71331,1.034,0.084967,1.0344,1.5472,1,0.79027,0.46935,0.11786,0.46726,0.14504,0.44799,0.13341,
0,2,1580220612,11.6724,900,30,0.004362,0.0039133,0.062646,0.39362,0.31154,0.31115,1.955,0.091373,0.57341,1.2421,0.070214,1.2427,1.652,1,0.32708,0.13648,0.10504,0.14821,0.11264,0.14782,0.11067,
0,2,4268381819,11.6583,900,30,0.0039446,0.0035516,0.056855,0.35723,0.30206,0.30169,1.8956,0.07836,0.49175,0.81631,0.057137,0.81638,1.1226,1,0.35256,0.20654,0.13465,0.24018,0.1282,0.23304,0.12795,
0,3,726469383,10.928,600,24,0.004513,0.0041004,0.06564,0.41243,0.33468,0.33427,2.1003,0.084026,0.5273,1.378,0.064582,1.3785,1.5907,1,0.70864,0.18263,0.085062,0.21494,0.085069,0.19355,0.085212,
0,2,3918778055,10.2667,300,17,0.017907,0.0062561,0.10015,0.62926,0.39978,0.39929,2.5088,0.087405,0.54851,1.6641,0.082421,1.6643,2.0515,1,0.48024,0.18725,0.11256,0.25876,0.12408,0.1866,0.10327,
0,3,3655092795,10.9366,600,24,0.0033344,0.0036594,0.058582,0.36808,0.33178,0.33137,2.0821,0.091878,0.57658,1.4848,0.083661,1.4854,1.9705,1,0.54555,0.2802,0.11763,0.28059,0.10784,0.34546,0.14367,
4,2,2403317139,11.8807,600,24,0.0012274,0.013133,0.02364,0.44877,0.41299,0.20871,1.4751,0.28077,0.30985,5.0639,0.043722,5.0642,3.9041,1,0.45687,0.12434,0.066078,0.15706,0.071353,0.11511,0.072656,
0,2,1938333666,10.9645,600,24,0.0038464,0.0036982,0.059202,0.37198,0.30114,0.30077,1.8898,0.081761,0.51309,1.4285,0.095584,1.4287,1.9452,1,0.53548,0.30991,0.12934,0.35059,0.1167,0.32693,0.13672,
0,3,527749955,11.6367,900,30,0.0057453,0.0040294,0.064505,0.4053,0.30854,0.30816,1.9362,0.096713,0.60692,1.3584,0.069892,1.3588,1.8857,1,0.39643,0.13235,0.086658,0.15407,0.091792,0.16583,0.085009,
0,2,3089337862,10.9595,600,24,0.0057026,0.0038703,0.061958,0.38929,0.32495,0.32455,2.0392,0.085158,0.53441,1.3375,0.060108,1.3379,1.5751,1,0.2903,0.11266,0.090058,0.11994,0.083948,0.11964,0.091256,
0,2,3923620912,11.6258,900,30,0.0047402,0.0042489,0.068017,0.42737,0.31458,0.31419,1.9741,0.085564,0.53695,1.3125,0.078704,1.3126,1.7589,1,0.36903,0.1563,0.12533,0.18798,0.12041,0.17301,0.12417,
0,3,1386302059,10.1687,300,17,0.01256,0.0057126,0.09145,0.5746,0.39375,0.39327,2.471,0.13151,0.82528,1.7233,0.10536,1.7241,2.3339,1,0.84289,0.38917,0.12833,0.41063,0.11264,0.41586,0.13099,
0,3,2893643210,10.1379,300,17,0.025646,0.0056226,0.090008,0.56554,0.36274,0.36229,2.2764,0.088339,0.55437,1.4099,0.10648,1.41,2.178,1,0.68176,0.51124,0.12122,0.61453,0.11276,0.5094,0.12639,
0,2,531251282,11.0471,600,24,0.019456,0.0051118,0.081831,0.51416,0.39156,0.39108,2.4572,0.12141,0.76189,1.4715,0.12745,1.4716,2.1139,1,0.46322,0.33663,0.15914,0.34117,0.1578,0.51137,0.18462,
0,3,1835229398,11.6109,900,30,0.002634,0.0039589,0.063376,0.39821,0.30678,0.30641,1.9252,0.089601,0.56229,0.90661,0.05148,0.90675,1.0623,1,0.59481,0.20687,0.10251,0.20445,0.10626,0.24706,0.11477,
0,3,934092482,11.5958,900,30,0.0026012,0.0030729,0.049192,0.30908,0.28064,0.28029,1.7611,0.069533,0.43635,1.376,0.062916,1.3761,1.5874,1,0.53253,0.15782,0.092663,0.17687,0.092715,0.16434,0.091012,
0,2,1984215287,11.6681,900,30,0.003836,0.0035897,0.057466,0.36107,0.31054,0.31016,1.9488,0.083658,0.52499,1.2131,0.064448,1.2136,1.437,1,0.39615,0.1607,0.10978,0.16875,0.11576,0.15812,0.099378,
0,3,3613123289,10.1017,300,17,0.0042232,0.0050082,0.080173,0.50374,0.36377,0.36332,2.2828,0.09926,0.6229,1.3917,0.0616,1.3921,1.4565,1,0.61944,0.19424,0.093498,0.22675,0.092149,0.20674,0.075182,
4,2,4162329833,12.7631,900,30,0.028981,0.064425,0.11597,0.36086,0.5049,0.25515,1.3982,0.55516,0.61266,4.9286,0.049465,4.9288,3.7264,1,0.43668,0.11801,0.069654,0.13449,0.075504,0.11413,0.063957,
1,1,1133360918,13.1387,300,17,0.0004677,0.027677,0.049588,0.58273,0.73671,0.26295,1.7918,0.36548,0.31546,1.8591,0.11053,1.8593,2.0516,1,0.8509,0.1461,0.055838,0.13663,0.047654,0.13492,0.057109,
0,2,3887485219,11.7012,900,30,0.0073638,0.0031834,0.050961,0.3202,0.29812,0.29775,1.8708,0.0849,0.53279,1.275,0.070577,1.2754,1.609,1,0.4547,0.13881,0.099469,0.18191,0.10516,0.14391,0.091311,
0,3,2270363075,10.9485,600,24,0.0018348,0.0042906,0.068686,0.43157,0.33131,0.3309,2.0791,0.089155,0.55949,1.7919,0.082048,1.7922,2.0856,1,0.54986,0.27533,0.10527,0.24449,0.083374,0.35808,0.088142,
0,3,1783903534,10.9246,600,24,0.0026725,0.0045896,0.073473,0.46164,0.33562,0.33521,2.1062,0.088851,0.55758,1.5663,0.060138,1.5664,1.6701,1,0.64377,0.14428,0.070768,0.16568,0.07872,0.15935,0.072342,
0,3,184723083,10.1353,300,17,0.012929,0.0065727,0.10522,0.66111,0.4126,0.41209,2.5893,0.13233,0.83042,2.0608,0.098646,2.0613,2.5106,1,0.59701,0.26256,0.10591,0.26961,0.084701,0.21788,0.10588,
0,2,1723237852,11.8272,900,30,0.0039785,0.003532,0.056542,0.35526,0.29336,0.293,1.8409,0.084888,0.53271,0.68524,0.10301,0.68543,1.3347,1,0.74892,0.5935,0.19661,0.66713,0.19589,0.66785,0.22829,
0,3,965047231,10.9817,600,24,0.0047958,0.0044694,0.071548,0.44955,0.35256,0.35212,2.2125,0.11584,0.72695,1.3851,0.061787,1.3855,1.8593,1,0.52399,0.21171,0.10411,0.21714,0.087049,0.20703,0.091591,
0,3,2654967873,10.1127,300,17,0.0098949,0.0061076,0.097773,0.61432,0.38994,0.38946,2.447,0.09301,0.58368,2.0955,0.075368,2.0959,2.1624,1,0.55036,0.16836,0.072856,0.2034,0.078721,0.17855,0.094448,
4,3,1838300630,11.0988,300,17,0.056984,0.08122,0.1462,0.70792,0.70683,0.3572,2.1227,0.38512,0.42502,101.3628,0.16371,101.363,42.955,1,0.76216,0.066557,0.024866,0.096986,0.041123,0.06412,0.021172,
1,1,1541351657,13.1803,300,17,0.0039013,0.025339,0.045398,0.46017,0.71069,0.25366,1.8222,0.33003,0.28487,7.4611,0.039514,7.4613,3.3667,1,0.49896,0.24258,0.15136,0.24432,0.15623,0.32919,0.15071,
1,1,1739878460,13.1285,300,17,0.022783,0.057478,0.10298,0.46258,0.69996,0.24983,1.5444,0.46054,0.39751,10.1082,0.076337,10.1086,5.7853,1,0.65591,0.20835,0.084701,0.22059,0.087452,0.26312,0.086553,
0,3,1827606221,11.657,900,30,0.0039336,0.0033742,0.054016,0.33939,0.29074,0.29038,1.8245,0.073156,0.45909,1.1823,0.056285,1.1828,1.5256,1,0.4786,0.16499,0.099121,0.17409,0.093563,0.15861,0.0972,
0,3,3782476535,11.6022,900,30,0.0019621,0.0035402,0.056673,0.35609,0.28152,0.28117,1.7667,0.080205,0.50333,1.3061,0.058324,1.3064,1.6464,1,0.44779,0.1375,0.088153,0.14617,0.088991,0.17316,0.10359,
1,1,2866568311,13.9135,600,24,0.011945,0.037108,0.066486,0.63106,0.65723,0.23458,1.6756,0.44023,0.37998,1.8753,0.062851,1.8756,1.7299,1,0.74292,0.10006,0.041999,0.11444,0.043535,0.093246,0.048562,
0,3,1097796103,10.4086,300,17,0.017289,0.0066845,0.10701,0.67235,0.42105,0.42053,2.6423,0.10415,0.65358,1.8523,0.092222,1.8525,2.2001,1,0.91904,0.49767,0.093317,0.48683,0.093903,0.50171,0.095992,
0,3,254716030,11.0983,600,24,0.002333,0.0033001,0.05283,0.33194,0.30705,0.30667,1.9269,0.10624,0.6667,1.4353,0.072576,1.4361,2.0444,1,0.56473,0.24872,0.10014,0.26224,0.10348,0.25475,0.096105,
0,3,2108848012,11.103,600,24,0.0034397,0.0047036,0.075297,0.47311,0.33941,0.33899,2.13,0.090172,0.56587,1.7735,0.069057,1.7738,1.8733,1,0.43574,0.1343,0.089135,0.1563,0.091357,0.15115,0.085063,
0,3,3201629306,11.8416,900,30,0.0066249,0.0035105,0.056198,0.3531,0.29477,0.29441,1.8498,0.069983,0.43918,1.2089,0.069092,1.2093,1.4873,1,0.53115,0.19905,0.11504,0.21277,0.10618,0.24786,0.12392,
4,3,907642669,12.148,600,24,0.0041576,0.014128,0.02543,0.40171,0.4352,0.21993,1.503,0.26219,0.28935,1.2456,0.059806,1.2457,1.5316,1,0.71103,0.36836,0.15437,0.39817,0.15716,0.41264,0.1672,
1,1,1390673751,14.1119,600,24,0.01611,0.039569,0.070894,0.46798,0.73809,0.26344,1.6572,0.3572,0.30831,14.5257,0.085414,14.5258,7.4689,1,0.39386,0.091145,0.061993,0.095141,0.06319,0.069441,0.053503,
1,1,3355470271,14.1014,600,24,0.003639,0.01495,0.026786,0.36073,0.53413,0.19064,1.2864,0.25073,0.21641,10.0507,0.049769,10.0509,4.8389,1,0.55929,0.40622,0.17921,0.44717,0.17978,0.39004,0.17018,
1,1,1898247898,13.2493,300,17,0.013233,0.057264,0.1026,0.72773,0.8406,0.30002,1.859,0.40754,0.35177,15.3197,0.086808,15.3202,7.3206,1,0.56528,0.30736,0.1979,0.32672,0.18709,0.34524,0.18609,
